Language	PID	glottocode	Mother Node	Subfamily (node below top-level)	Language Family (top-level node)	Reference	Alignment	Alignment notes	Granular Case Marking Alignment Type	Notes	Optional A?	Optional O?	Case-marking complexity (distinctions + optionality)	Indexing	Heirarchical?	Inverse Marking?	Notes	Cell Complexity	Cell Complexity Notes	Form complexity	Form complexity notes	Verbal complexity sum	Total complexity	Word order	Notes	Outstanding comments	Latitude	Longitude	Latlong Comments	Drainage region	Drainage comments	spoken as an L2?	L2 Comments	Speaker population	Speaker population comments	Agriculture intensity (based on EA028)	Agriculture comments	Political organization (EA033)	Political Organization comments	Community Size	Community Size Coding	Hill Score	Valley Score	Hill/Valley	DEM mean	Stdev of Slope	Ruggedness Mean	Altitude (sampled raster value from DEM)	Level 6 hydrobasin	Level 5 hydrobasin	Closest river reach	Closest river network	Downriver distance	Upriver distance
Angami	STAP01	anga1288	Angami-Pochuri	Kuki-Chin-Naga	Sino-Tibetan	Kevichusa-Ezung (p.c.)	NOM-ACC		Optional Nominative		1	0	2	None	0	0	p.c. Ezung	0		0		0	2	SOV	p.c. Ezung	?	25.68	93.87				1		"153,000.00"	census	Intensive/irrigated	D-PLACE (EA-028)	Acephalous/petty-chiefdom	https://d-place.org/parameters/EA033#6/24.467/93.327			1	3	Valley	932.7454419	11.83510729	75.11614822	548	4060870190	4050884290	40917374	41067217	984.5	107.5
Suansu	STTA01	suan1234	Tangkhulic	Kuki-Chin-Naga	Sino-Tibetan	"Ivani, Jessica K. 2023. Suansu language from northeastern India: A field report. Linguistics of the Tibeto-Burman Area 46(1). 138-163."	NOM-ACC		NOM-ACC		1	1	4	None	0	0	None (p. 155)	0		0		0	4				25.43	94.58				0	"Tangkhul spoken as L2, spoken only in-community (p. 141)"	"2,200.00"	"grammar, p. 139"	Extensive/shifting	p. 451	Acephalous/petty-chiefdom	p. 214			4	0	Hill	1457.898578	7.894089765	92.97336335	1463	4060913560	4051019890	40934380	41284417	1592.4	99.8
Zeme	STZE01	zeme1240	Zemeic	Kuki-Chin-Naga	Sino-Tibetan	"Chanu, Sapam Sangita. 2017. A descriptive grammar of Zeme. Silchar: Assam University dissertation. (xxvii+326pp.)"	NOM-ACC		NOM-ACC		1	1	4	None	0	0	None (p. 117)	0		0		0	4	SOV	p. 159		25.35	93.65				0	"speak Meitei as an L2 (p. 10), but no mention of L2 speakers of Zeme"	"2,200.00"	"census, grammar p. 139"	Extensive/shifting	p. 13	Acephalous/petty-chiefdom	Longkumer - the paipeu seems to be the highest level of leader (and it is a village leader)			4	0	Hill	915.2602689	8.527427318	92.40535739	597	4060947390	4050975160	40958631	41067217	799.8	124.2
Mizo	STMI01	lush1249	Mizoic	Kuki-Chin-Naga	Sino-Tibetan	"CHHANGTE, LALNUNTHANGI. A Preliminary Grammar of the Mizo Language (tibeto-Burman). United States -- Texas: The University of Texas at Arlington M.S. https://www.proquest.com/docview/230648548/abstract/96693B9EF0024613PQ/1. (1 September, 2024)."	ERG-ABS		ERG-ABS		0	0	1	"S,A,O"	1>2>3	0	No dedicated form	13	6 intransitive cells + 7 transitive cells (Chhangte 1993:89-91)	8	"6 subject indexes, first and second person object index"	21	22	SOV	p. 179		22.61	92.62				1	"""The Lusei language has replaced the language of the Raltes and other minor tribes"" (P. 6)"	"1,089,846.00"	"census, grammar p. 139"	Extensive/shifting	p. 189	Acephalous/petty-chiefdom	p. 18 - there seem to be chiefs above village elders			2	2	Split	240.8803436	7.699649804	59.80906049	115	4060025260	4050024190	41093684	41115117	130.1	182.8
Thado Chin	STKC02	thad1238	Thadoic	Kuki-Chin-Naga	Sino-Tibetan	"Haokip, Marykim. 2014. Grammar of Thadou-Kuki: A Descriptive Study. New Delhi: Jawaharlal Nehru University dissertation. (322pp.), Haokip, Pauthang . 2019. Agreement in Thadou"	ERG-ABS		ERG-ABS		0	0	1	"S,A,O"	1>2>3	0	"Dedicated portmanteaus for inverse combinations and strategies, but no inverse marker"	41	11 intransitive cells + 30 transitive	9	"6 indexes in the intransitive (1.EXCL, 1.INCL, 2, 3, DU, PL) + 3 new indexes in the transitive (2>1, 3>1, -u SG)"	50	51	SOV	Haokip 2014 p. 198		24.1	93.72				0	"speak Meitei as a L2 (Ethnologue), speakers are multilingual in other languages (p. 34)"	"229,340.00"	grammar	Extensive/shifting	D-PLACE (EA-028)	Acephalous/petty-chiefdom	https://d-place.org/parameters/EA033#6/24.467/93.327			3	1	Hill	1130.132556	7.32307352	83.8390534	1400	4060977220	4051019890	41023829	41284417	1379.1	191.5
Daai Chin	STKC03	daai1236	Daai-Nghmoye-Muun-Kaang	Kuki-Chin-Naga	Sino-Tibetan	"So-Hartmann, Helga. 2009. A descriptive grammar of Daai Chin. (STEDT Monograph Series, 7.) Berkeley: Center for Southeast Asia Studies. 392pp. (Publication of 2008 SOAD PhD)."	ERG-ABS		ERG-ABS		0	0	1	"S,A,O"	1	0	p. 239-248	47	"5 intransitive (only 1st, 2nd person) + 7 subject x 6 possible object combinations (42)"	11	"7 subject indexes, 4 object indexes (1DU and 3DU are identical) (p. 239)"	58	59	SOV	p. 236		20.73	93.79				0	"p. 37 (less than 5% are fluent in any other language, neg. views on learning other lgs)"	"45,000.00"	"grammar, p. 33"	Extensive/shifting	p. 320	Acephalous/petty-chiefdom	p. 81-86 (Lehman)			4	0	Hill	990.8687363	6.778970385	97.11269083	667	4060024780	4050024190	41168095	41185140	124.2	83.7
Lamkang	STKC04	lamk1238	Anal-Lamgang	Kuki-Chin-Naga	Sino-Tibetan	"Thounaojam, Harimohon & Shobhana L. Chelliah. 2007. The Lamkang language: grammatical sketch, texts and lexicon. Linguistics of the Tibeto-Burman Area 30(1). 1-189., Chelliah, Shobhana, David Peterson, Tyler Utt, Evaline Blair & Sumshot Khular. 2019. Lamkang verb conjugation. Himalayan Linguistics 18(1). https://doi.org/10.5070/H918143199."	Tripartite		Optional Bipartite		1	1	4	"S,A,O"	1>2>3	1	p. 9 t- only in nonfuture affirmative	38	6 intransitive nonfuture affirmative + 32 transitive nonfuture affirmative	13	"5 intransitive indexes: 1, 2, PL, 3SG, 3PL. 7 transitive indexes (table 2) + 1 inverse index"	51	55				24.33189437	94.00086948	"Chandel, Manipur (p. 7 grammar)"			0	p 4 Speak Meitei as L2	"4,524.00"	"grammar, p. 3"	Extensive/shifting	p. 540	Acephalous/petty-chiefdom	p. 7 grammar			4	0	Hill	1075.576335	7.258526932	74.52040742	892	4060977220	4051019890	41013476	41284417	1408.6	162.1
Bori-Karko	STET01	bori1243	Eastern Tani	Macro-Tani	Sino-Tibetan	"Lalrempuii, C. 2005"	NOM-ACC		Optional Nominative	Don't know about optionality of the accusative	1	0	6	None	0	0	p. 92	0		0		0	6				27.63	94.35				1	"p. 68, Modi"	"120,000.00"	"census, grammar p. 1"	Extensive/shifting	"D-PLACE (EA-028), however they have terraced paddy fields, so can be said to use both (p. 5)"	Acephalous/petty-chiefdom	https://d-place.org/parameters/EA033#1/30/152 (based on Roy 1960)			2	2	Split	493.9813977	10.46562328	103.0465772	274	4060860710	4050865800	40810183	41067217	1026.4	405.7
Galo	STWT01	galo1242	Subansiri	Macro-Tani	Sino-Tibetan	"Post, 2007"	NOM-ACC		Optional Accusative		0	1	2	None	0	0	p. 689	0		0		0	2	SOV	p. 690		28.16249143	94.80572323				0	p. 49 no mention	"35,000.00"	grammar p. 63	Extensive/shifting	p. 39	Acephalous/petty-chiefdom	p. 36			4	0	Hill	562.3671867	8.98731053	77.63675036	291	4060838850	4050838850	40778282	41067217	1238.1	164.7
Milang	STKH01	mila1245	Koro-Holon	Macro-Tani	Sino-Tibetan	"Modi, Yankee. 2017. The Milang Language: Grammar and Texts. Bern: Universität Bern dissertation. (705pp.)"	NOM-ACC		Optional Accusative		0	1	2	None	0	0	p. 262 - 269	0		0		0	2	SOV	p. 416		28.55	95.19				0	"p. 68, Adi/Padam is dominant ('superstrata')"	"4,000.00"	"grammar, p. 29"	Extensive/shifting	p. 34	Acephalous/petty-chiefdom	p. 43			4	0	Hill	1418.856835	10.25448835	118.3996759	1369	4060838850	4050838850	40756654	41067217	1227.3	33.3
Mising	STET02	miny1240	Mising-Padam-Miri-Minyong	Macro-Tani	Sino-Tibetan	Prasad 1991	NOM-ACC		NOM-ACC	Don't know about optionality	0	0	1	None	0	0	0	0		0		0	1	SOV	p. 123		27.03938052	94.45628484	"(North Lakhimpur, Sibsagar, p. 4)"			0	no mention	"629,954.00"	census	Extensive/shifting	p. 6	Acephalous/petty-chiefdom	p. 6			3	1	Hill	89.54456716	0.830852954	6.334900091	96	4060865930	4050865930	40853531	41067217	957.4	2396.5
Kera'a	STDI01	idum1241	Digarish	Digarish	Sino-Tibetan	Peck (p.c.)	NOM-ACC	NOM-ACC with an optional ERG!	NOM-ERG-ACC		1	1	5	"S,A"	0	0	p.c. Peck and reinohl	16	"2 agent x 6 undergoer for transitive, 3 persons x 1 (plural) for intransitive, +3SG for one dialect"	2	plural subject + 3PL subject marker	18	23				28.11861471	95.8224191				0	confirm w/ Naomi	"13,000"	p.c.	Extensive/shifting	p.c.	Acephalous/petty-chiefdom	p.c.			4	0	Hill	439.1881731	11.57313157	149.4940075	296	4060835750	4050839030	40779122	41067217	1188.4	176.1
Limbu	STKI01	limb1266	Kiranti	Himalayish	Sino-Tibetan	"Driem, George van. 1987. A Grammar of Limbu. (Mouton Grammar Library, 4.) Berlin, New York: Berlin: Mouton de Gruyter. xxviii+565pp. doi: 10.1515/9783110846812."	ERG-ABS		Optional Absolutive		0	1	3	"S,A,O"	2>1>3	0		67	11 intransitive cells + 56 transitive cells	20	4 prefixes (p. 215 van Driem 1995) + 16 suffixes (p. 227 - only non preterite)	87	90	SOV			27.27	87.89				1	p. 19	"410,000.00"	census	Intensive/irrigated	"p. 127 (paddy fields), p. 27 van Driem (sedentary agricultarists)"	State	p. 9-10 (van Driem)			0	4	Valley	1818.654499	8.152651987	123.6899708	1610	4060900840	4050911800	40840707	41067217	897.3	119.3
Lepcha	STHI01	lepc1244	Himalayish	Himalayish	Sino-Tibetan	"Plaisier, Heleen. 2007. A Grammar of Lepcha. (Languages of the Greater Himalayan Region, 5.) Leiden and Boston: Leiden: E.~J.~Brill. 273pp. (Brill's Tibetan Studies Library 5. Also as 2006 PhD U Leiden.)"	NOM-ACC	"I said Split-S initially, but the DAT/ACC doesn't appear on S, so no evidence for that"	Optional Nominative	No information about optionality of DAT/ACC	1	0	3	None	0	0	None (p. 97)	0		0		0	3				27.09	88.57	?			0	spoken mostly in-group (Datta)	"66,500.00"	census	Intensive/irrigated	D-PLACE (EA-028)	State	p. 27 (Siiger)			1	3	Valley	1183.087401	7.949588339	102.4369448	1006	4060956230	4050956230	40841461	41067217	895.7	120.9
Hrusso Aka	STUN01	hrus1242	Unclear	Hruso	Sino-Tibetan	"D'Souza, Vijay A. 2021. Aspects of Hrusso Aka Phonology and Morphology. University of Oxford dissertation."	NOM-ACC		NOM-ACC	Don't know about optionality	0	0	1	None	0	0	"None (p. 435, 386)"	0		0		0	1	SOV	p. 36		27.27	92.63	no			0	"p.325, seems to be a minority lg under influence from other lingua francas"	"4,000.00"	"g, p. 25"	Extensive/shifting	p. 154	Acephalous/petty-chiefdom	"p. 32 (Dsouza), however see Grewal who says they had raiding chiefs"			4	0	Hill	1398.135506	9.514121314	123.1549284	1240	4060872230	4050884290	40846081	41067217	616.2	171
Tamangic	STTM01	tama1367	Ghale-Tamangic	Bodic	Sino-Tibetan	"Owen-Smith, Thomas. 2015. Grammatical relations in Tamang, a Tibeto-Burman language of Nepal. London,: SOAS University of London phd. https://doi.org/10.25501/SOAS.00023664."	NOM-ACC		Optional Nominative		1	0	2	None	0	0	p. 369 language does not have verbal agreement	0		0		0	2	SOV	p. 148		27.89	85.67	Bhote Namlang			1	p. 19 spoken by Nepali and Newari speakers at the field site too	"1,179,145.00"	p. 14	Extensive/shifting	"p. 50 Millet, not rice - no mention of slash and burn."	Acephalous/petty-chiefdom	"p. 42 ""which results for the most part not"			2	2	Split	1916.238861	9.095774608	117.8480981	1898	4060863940	4050911800	40835562	41067217	927.5	89.8
Tibetan	STTI01	tibe1272	Central Tibetan	Bodic	Sino-Tibetan	DeLancey 2003	NOM-ACC		Optional Nominative		1	0	2	None	0	0	Tournadre and Dorje 2003: 23	0		0		0	2	SOV	p. 273		29.64363395	91.11090692	Lhasa			1	p. 270	"1,200,000.00"	Ethnologue	Intensive/irrigated	https://d-place.org/parameters/EA033#5/26.431/100.565	State	https://d-place.org/parameters/EA033#5/26.431/100.565			0	4	Valley	3949.396102	13.46624464	71.50100263	3649	4060778700	4050786460	40807093	41067217	1047.8	126.5
Bjokapakha	STTS01	bjok1234	Tshanglic	Bodic	Sino-Tibetan	"Grollmann, Selin. 2020. A Grammar of Bjokapakha. Leiden: Brill. xvi+514pp."	NOM-ACC		Optional Nominative		1	0	2	None	0	0	None (p. 218)	0		0		0	2	SOV	"p. 341, but flexible due to pragmatics"	"However, in Bjokapakha, there is no language-internal reason to differentiate these roles structurally, since there is neither a difference in function, nor formal marking or syntactic construction. The label agentive is chosen to imply the pragmatic nature of the Bjokapakha case and includes the traditional semantic roles of agent and instrument equally."	27.37	91.77				1	"unsure, as its speakers speak Dzongkha as a L2, but 'Tshangla', a variety its related to is referred to as a lingua franca. chose to code as yes"	"1,500.00"	grammar	Extensive/shifting	p. 4	Larger chiefdom	p. 4 (used to be a ruler over a large tract of land)			2	1	Hill	2641.05527	8.725991843	114.6598855	1770	4060859650	4050886200	40700310	41067217	2275.6	495.8
Puroik	STKB01	puro1234	Kho-Bwa	Kho-Bwa	Sino-Tibetan	"Lieberherr, Ismael. 2017. A Grammar of Bulu Puroik. Universität Bern dissertation. (698pp.)"	NOM-ACC		Optional Accusative		0	1	2	None	0	0	None (p. 156)	0		0		0	2	Verb final	"AOV common, but all orders possible due to information structure (p. 204)"	Argument markers must be distinguished from discourse particles occurring on noun phrases. The four O-arguments in example (170) bear the topic marker =na but are unmarked for their role in the clause.	27.44939721	92.46681966	(Bulu)			0	"Puroik speakers here speak other languages, such as Mishmi to trade, and it is implied to not be bidirectional"	"20,000.00"	census	Horticulturalist	p. 26-27 (mostly non-agricultural in nature...)	Acephalous/petty-chiefdom	p. 606 - describes it as a 'slave society' to nyishi and mijis			4	0	Hill	2191.966127	8.836049107	121.6786312	1568	4060872230	4050884290	40833635	41067217	694.7	239.7
Miji	STMJ01	miji1239	Miji	Miji	Sino-Tibetan	"Weedall, Christopher. 2021. A grammar of West Kameng Sajolang (Miji): (Upper Dzang and Khellong villages). http://hdl.handle.net/1885/251256. (3 February, 2025)."	NOM-ACC		Optional Accusative		0	1	2	None	0	0	p. 389	0		0		0	2	SOV	(p. 393)		27.37121584	92.54668264				1	"Lieberherr, p. 34"	"12,000.00"	p. 23	Extensive/shifting	p.41 (extensive/shifting)	Acephalous/petty-chiefdom	p. 146			3	1	Hill	1667.824816	9.280443011	120.1147107	1019	4060872230	4050884290	40834993	41067217	930.2	87.1
Brokpa/Brokpake	STTI02	brok1248	Southern Tibetic	Bodic	Sino-Tibetan	"Wangdi, Pema. 2021. A Grammar of Brokpa: A Trans-Himalayan Language of Bhutan. James Cook University dissertation. (xxxviii+1004pp.)"	ERG-ABS		ERG-ABS		0	0	1	None	0	0	p. 584	0	5 intransitive cells can be marked (phonologically dependent p. 125) + 31 transitive cells (stop-final root)	0		0	1	SOV	p. 862		27.29860013	91.84488364	Merak			0	p. 182 Wangdi 2021	"5,000.00"	p. ix	Extensive/shifting	p. 33	Acephalous/petty-chiefdom	p. 84			4	0	Hill	3443.147753	8.996707325	116.0380713	3432	4060886350	4050886350	40834993	41067217	930.2	87.1
Trung/Drung	STMNU01	drun1238	Gunong	Nungish	Sino-Tibetan	"Perlin, Ross. 2020. A Grammar of Trung [HL Archive 8]. Himalayan Linguistics 0(0). https://doi.org/10.5070/H918244579."	Split-S		Optional Split-S		1	1	4	"S,A,O"	1>2>3	1	n?³¹- p. 135	36	5 intransitive cells can be marked (phonologically dependent p. 125) + 31 transitive cells (stop-final root)	5	"4  indexes (-??? 1SG, -??³¹1DU/2DU, V: 1PL, -n 2PL) + marked scenario prefix (n?³¹-) .. Seem to make up everything!"	41	45	SOV	p. 169		27.73914678	98.35522523	Dulongjiang Town			0	p. 12	"6,930.00"	p. 3	Extensive/shifting	p. 18	Acephalous/petty-chiefdom	p. 24			4	0	Hill	2564.298455	8.787902554	148.5152861	1670	4060903190	4050903190	40843707	41067217	674.7	259.7
																																																						
